qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740455.1_Enterovirus_E	56.9	462	196	2	1695	2154	1	461	1.75e-177	548
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740478.2_Enterovirus_C	56.5	462	198	2	1695	2154	1	461	1.75e-177	548
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Amphibia_LPWG5926_Zhejiang_banded_bullfrog_picornavirus_7224bp	26.7	2245	1334	73	73	2154	277	2372	5.80e-174	589
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740422.1_Enterovirus_D	57.6	446	186	2	1711	2154	13	457	8.44e-170	527
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009664724.1_Bat_picornavirus_BatPV_V1_13_Hun	26.5	2253	1356	78	73	2154	161	2283	1.90e-169	575
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_001210296_Saffold_virus	25.1	2280	1383	75	73	2154	143	2295	1.20e-163	558
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_040350.1_Theilovirus	25.9	2266	1386	80	73	2154	147	2302	1.27e-163	558
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Amphibia_HKCCC24180_Hainan_black-spectacled_toad_picornavirus_7350bp	26.0	2337	1375	83	13	2154	225	2401	8.98e-158	541
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_ASH99046.1_Aimelvirus_1	24.6	2257	1418	66	56	2154	56	2186	2.29e-156	535
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740489.1_Porcine_sapelovirus_1	54.6	445	195	4	1716	2154	18	461	3.35e-156	489
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009118290.1_Rabovirus_A	52.8	449	205	5	1711	2154	13	459	5.53e-155	486
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009389450.1_Aimelvirus_2	25.3	2330	1422	81	3	2154	16	2204	3.10e-154	529
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505602.1_Boone_cardiovirus_1	25.2	2363	1396	88	3	2150	93	2298	1.54e-152	525
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_937979.1_Simian_sapelovirus_1	51.9	466	218	3	1695	2154	1	466	1.59e-152	479
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009361830.1_Cosavirus_F	25.4	2328	1296	85	6	2122	1	2099	1.18e-150	518
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_002956074.1_Cosavirus_A	24.8	2304	1375	77	6	2140	1	2116	6.02e-147	506
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_006792625.1_Bovine_hungarovirus_1	25.1	2255	1346	81	70	2154	161	2241	1.02e-146	507
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_002956075.1_Human_cosavirus_B	25.2	2326	1358	77	6	2154	1	2122	2.15e-144	499
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_QFX66142.1_Macaca_fascicularis_picornavirus	25.9	2256	1337	84	34	2150	23	2082	1.01e-142	493
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_NP_653143_Porcine_teschovirus	25.4	2321	1350	84	13	2154	118	2235	4.64e-141	489
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_002956076.1_Cosavirus_D	24.1	2334	1376	76	6	2154	1	2124	1.86e-140	487
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009121743.1_African_bat_icavirus_PREDICT-06105	25.3	2307	1419	78	7	2154	89	2250	2.83e-140	487
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_002268402.1_Senecavirus_A	24.7	2218	1332	70	77	2150	154	2176	3.48e-140	486
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009112712.1_Cosavirus_JMY-2014	24.6	2323	1371	74	6	2154	1	2117	1.85e-138	481
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009026376.1_Human_cosavirus	23.7	2333	1383	78	6	2154	1	2119	1.43e-136	475
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009109563.1_Norway_rat_hunnivirus	25.3	2288	1336	86	66	2154	157	2271	6.98e-135	471
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004564619.1_Pigeon_picornavirus_B	47.8	464	227	7	1696	2154	3	456	8.29e-133	424
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009116874.1_Bovine_picornavirus	24.5	2295	1338	84	77	2154	103	2220	1.21e-130	457
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_AJD39294.1_Bopivirus_A	24.5	2295	1338	84	77	2154	103	2220	1.21e-130	457
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009026384.1_Mosavirus_A2	25.3	2065	1170	74	257	2153	688	2548	3.42e-130	457
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009118269.1_Lesavirus_1	24.0	2284	1392	77	1	2134	124	2213	6.30e-128	449
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009513027.1_Equine_rhinitis_A_virus	24.6	2191	1299	79	77	2153	293	2245	8.33e-127	445
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_002956072.1_Cosavirus_E	24.1	2261	1322	84	73	2154	67	2111	1.19e-126	444
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009118270.1_Lesavirus_2	24.4	1993	1237	66	260	2146	365	2194	1.80e-122	431
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009553012.1_Goose_picornavirus_1	24.9	2227	1341	89	89	2153	359	2416	1.66e-116	413
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_003853287_Oscivirus_A2	24.1	2318	1352	93	57	2153	125	2255	7.84e-106	378
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009290629.1_Rosavirus_B	29.0	1151	698	36	1097	2154	1361	2485	1.33e-105	378
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_LPSF20501_Guangdong_chinese_water_snake_picornavirus_8328bp	27.2	1210	753	33	1042	2154	1306	2484	6.65e-100	359
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505618.1_Rosavirus_M-7	29.0	1161	693	45	1097	2154	1325	2457	2.28e-98	354
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_ZGLXR119682_Guangdong_chinese_water_skink_picornavirus_8049bp	28.4	1148	706	37	1096	2154	1242	2362	2.43e-97	351
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_LPWC175499_Yili_teratoscincus_roborowskii_picornavirus_1_8343bp	26.8	1169	730	39	1093	2154	1241	2390	3.27e-97	350
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_009028557_Rosavirus_A2	27.9	1157	704	39	1099	2154	1327	2454	1.40e-94	342
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_056777.1_Encephalomyocarditis_virus	25.7	1489	853	48	77	1417	141	1523	1.41e-93	338
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009290630.1_Rosavirus_C	28.5	1169	726	40	1069	2154	1339	2480	3.72e-93	337
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_007935798.1_Canine_picodicistrovirus	29.5	1042	595	42	1205	2150	395	1392	1.38e-90	325
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_008802588.1_Feline_sakobuvirus_A	23.7	2153	1305	84	173	2150	356	2346	1.86e-84	309
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009666862.1_Hainan_gekko_similignum_picornavirus	23.1	2020	1235	76	261	2151	441	2270	2.34e-84	308
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Cartilaginous_DHBYCGS18742_Wenling_sharpspine_skate_picornavirus_7948bp	28.0	1037	626	39	1196	2153	1328	2322	4.14e-84	308
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009054902.1_Chicken_picornavirus_5	26.9	1248	703	40	1091	2154	1525	2747	5.89e-83	304
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009021445.1_Melegrivirus_A	26.9	1251	699	41	1091	2154	1593	2815	2.34e-82	302
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_009021445_Turkey_megrivirus	26.9	1251	699	41	1091	2154	1593	2815	2.34e-82	302
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009345890.1_Goose_megrivirus	24.9	1379	734	45	1028	2154	1642	2971	4.23e-82	301
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009054901.1_Chicken_picornavirus_4	26.6	1250	705	40	1091	2154	1521	2743	5.14e-82	301
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009030047.1_Duck_megrivirus	25.5	1375	732	47	1028	2154	1509	2838	2.70e-81	299
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009513232.1_Chicken_megrivirus	26.6	1245	701	40	1096	2154	1532	2749	1.01e-80	297
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740257.1_Aichivirus_B	27.7	1161	685	42	1096	2150	1345	2457	2.32e-79	292
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_NP_740257_Bovine_kobuvirus	27.7	1161	685	42	1096	2150	1345	2457	2.32e-79	292
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_003065643.1_Salivirus_A	27.5	1011	641	32	1205	2150	1374	2357	6.53e-79	291
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009329856.1_Livupivirus_A	28.7	1027	608	41	1205	2150	1366	2349	1.46e-78	290
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009067077.1_Salivirus_FHB	25.6	1225	780	43	1024	2150	1162	2352	3.31e-78	288
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_001686841.1_Bovine_rhinitis_B_virus	23.2	2241	1290	89	77	2153	303	2277	8.17e-77	284
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009000902.1_Caprine_kobuvirus	27.2	1170	679	42	1096	2150	1362	2473	9.07e-77	284
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_LPXYC213122_Hainan_oriental_leaf-toed_gecko_picornavirus_7969bp	26.3	1026	658	34	1205	2154	1464	2467	1.78e-75	280
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009138081.1_Porcine_kobuvirus	26.8	1147	713	40	1096	2150	1341	2452	1.18e-74	277
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Amphibia_GDYYC83005_Guangdong_fish_caecilians_picornavirus_8318bp	28.0	1027	610	42	1205	2143	1480	2465	3.50e-72	269
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009448192.1_Passerivirus_sp.	27.6	1181	692	44	1082	2150	1533	2662	3.74e-72	269
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009664723.1_Bat_picornavirus	26.8	1007	635	40	1205	2150	1457	2422	1.73e-69	260
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009552280.1_Hedgehog_dicipivirus	32.3	561	333	15	1629	2154	962	1510	2.18e-69	258
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009361828.1_Miniopterus_schreibersii_picornavirus_1	33.0	463	287	11	1709	2154	10	466	3.47e-69	241
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009508290.1_Picornavirus_HK21	30.4	855	495	36	1357	2154	1894	2705	1.26e-68	257
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009362314.1_Harrier_picornavirus_1	30.5	722	435	27	1490	2154	1772	2483	4.53e-68	255
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009553696.1_Rhimavirus_A	33.6	470	277	14	1702	2150	4	459	4.68e-67	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009054903.1_Chicken_gallivirus_1	26.9	1051	634	42	1205	2150	1464	2485	8.88e-67	251
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740359.1_Teschovirus_A	34.2	456	272	13	1711	2154	12	451	1.41e-66	233
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_APA29019.1_Picornaviridae_sp_rodentCKPicoVTibet2014	24.6	1047	656	37	1188	2153	1172	2166	3.92e-66	249
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_NP_653151_Avian_encephalomyelitis_virus	26.2	1026	622	39	1205	2146	1143	2117	4.40e-65	245
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_LPWC210215_Yili_teratoscincus_roborowskii_picornavirus_2_7471bp	24.5	1026	651	27	1205	2131	1240	2240	4.69e-65	245
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_APA29018.1_Picornaviridae_sp_rodentRnPicoVSX2015_1	26.4	1061	622	40	1188	2153	1168	2164	5.87e-65	245
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009513028.1_Foot-and-mouth_disease_virus_-_type_O	30.0	653	403	20	1540	2150	1684	2324	6.32e-65	245
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505614.1_Bat_hepatovirus_BUO2BF86Colafr2010	25.4	1172	698	41	1087	2132	1047	2168	1.76e-64	243
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009214667.1_Gallivirus_Pf-CHK1_GV	26.7	1051	636	42	1205	2150	1449	2470	2.58e-64	243
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_041008.1_Hepatovirus_A	25.9	1037	635	37	1205	2151	1218	2211	3.06e-64	243
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_NP_041007_Hepatovirus_A	25.9	1037	635	37	1205	2151	1220	2213	3.06e-64	243
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_009164030_Phopivirus	25.7	1206	712	43	1078	2152	1070	2222	5.27e-64	242
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009021777.1_Sicinivirus_A	33.3	462	282	13	1709	2150	11	466	2.62e-63	224
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_LPSG10844_Guangdong_red-banded_snake_picornavirus_7371bp	25.6	1095	666	43	1165	2153	1216	2267	2.72e-63	239
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009133208.1_Falcovirus_A1	25.9	1041	645	38	1205	2150	1279	2288	2.88e-63	239
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_WHJYGF74978_Chinese_softshell_turtle_picornavirus_1_9196bp	30.0	671	407	25	1539	2154	2085	2747	3.17e-63	239
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_003853309.1_Oscivirus_A1	34.1	458	278	13	1711	2150	13	464	1.55e-62	221
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Rayfin_DSYC20078_Wuhan_sharpbelly_picornavirus_1_7220bp	25.7	1017	641	35	1226	2153	1250	2240	9.03e-62	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009423853.1_Falcon_picornavirus	26.4	1023	619	35	1222	2147	1337	2322	1.23e-61	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009054898.1_Chicken_picornavirus_1	29.9	720	413	29	1490	2150	1739	2425	1.27e-61	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009179351.1_Chicken_sicinivirus_JSY	29.4	720	416	29	1490	2150	2169	2855	1.42e-61	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_WHWGC151314_Chinese_broad-headed_pond_turtle_picornavirus_1_9218bp	34.9	441	259	11	1716	2131	2301	2738	1.83e-61	234
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009508462.1_Penguin_megrivirus	28.2	758	444	28	1466	2154	2043	2769	1.21e-60	231
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505613.1_Rodent_hepatovirus_KEF121Sigmas2012	25.5	1042	634	39	1205	2151	1219	2213	1.76e-60	230
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009111406.1_Tortoise_picornavirus	32.0	463	287	14	1709	2153	11	463	2.95e-59	212
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009054899.1_Chicken_picornavirus_2	27.0	979	603	37	1205	2144	1289	2194	5.09e-58	222
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_QID57933.1_Zebrafish_picornavirus-1	30.9	648	396	25	1520	2131	1753	2384	1.62e-57	221
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009241363.1_Tortoise_rafivirus_A	30.9	466	281	14	1709	2151	11	458	2.50e-57	206
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009026377.1_Duck_aalivirus_1	25.1	1094	706	36	1073	2098	1577	2625	5.08e-57	219
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_009026377_Duck_picornavirus_GL/12	25.1	1094	706	36	1073	2098	1577	2625	5.08e-57	219
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_AXQ03965.1_Zebrafish_picornavirus-1	30.7	648	397	25	1520	2131	1752	2383	6.24e-57	219
